"Step","Group: ERM_0_network_init - test_error","Group: ERM_0_network_init - test_error__MIN","Group: ERM_0_network_init - test_error__MAX","Group: IGA_0_network_init - test_error","Group: IGA_0_network_init - test_error__MIN","Group: IGA_0_network_init - test_error__MAX","Group: IB-IRM_0_network_init - test_error","Group: IB-IRM_0_network_init - test_error__MIN","Group: IB-IRM_0_network_init - test_error__MAX","Group: IRMv1_0_network_init - test_error","Group: IRMv1_0_network_init - test_error__MIN","Group: IRMv1_0_network_init - test_error__MAX","Group: IGA - test_error","Group: IGA - test_error__MIN","Group: IGA - test_error__MAX","Group: IB-IRM - test_error","Group: IB-IRM - test_error__MIN","Group: IB-IRM - test_error__MAX","Group: IRMv1 - test_error","Group: IRMv1 - test_error__MIN","Group: IRMv1 - test_error__MAX","Group: ERM - test_error","Group: ERM - test_error__MIN","Group: ERM - test_error__MAX","Group: ANDMask - test_error","Group: ANDMask - test_error__MIN","Group: ANDMask - test_error__MAX"
"0","0.49981441476323585","0.49656667311986286","0.5034333268801371","0.4993133346239726","0.49656667311986286","0.5034333268801371","0.4993133346239726","0.49656667311986286","0.5034333268801371","0.4993133346239726","0.49656667311986286","0.5034333268801371","0.5046927003633408","0.44883333643277484","0.5492666562398275","0.5046927003633408","0.44883333643277484","0.5492666562398275","0.5046927003633408","0.44883333643277484","0.5492666562398275","0.503614853317588","0.44883333643277484","0.5492666562398275","0.4982933342456818","0.4951000014940898","0.5017999907334646"
"1","0.4683468453250489","0.45070000489552814","0.5034333268801371","0.4511349956194559","0.4508666694164276","0.4511999885241191","0.47218166689078017","0.45070000489552814","0.5034333268801371","0.47218166689078017","0.45070000489552814","0.5034333268801371","0.4628685701461067","0.44770000378290814","0.5484000047047933","0.4951707944983531","0.44493332505226135","0.5539000034332275","0.4926990481596147","0.44493332505226135","0.5539000034332275","0.48435907592081034","0.44493332505226135","0.5492333372433981","0.4982933342456818","0.4951000014940898","0.5017999907334646"
"2","0.456647745795078","0.44926666220029193","0.5034333268801371","0.45113333066304523","0.45113333066304523","0.45113333066304523","0.47802500029404965","0.4509666661421458","0.5034333268801371","0.46081833044687903","0.45020000139872235","0.49570000171661377","0.4520536480441926","0.44893333315849304","0.4941999912261963","0.4922171431874472","0.4369666775067647","0.5500000019868215","0.48483460195480815","0.44190000494321185","0.5488666792710623","0.4733521440635028","0.44579999645551044","0.5488666792710623","0.4982933342456818","0.4951000014940898","0.5017999907334646"
"3","0.4524612590536338","0.4500666757424672","0.5029666721820831","0.45113333066304523","0.45113333066304523","0.45113333066304523","0.501556666692098","0.45046666264533997","0.5488666792710623","0.45344333201646797","0.4503999948501587","0.477400004863739","0.4511676164846575","0.44893333315849304","0.4548666675885518","0.491452063454522","0.43396666646003723","0.5764000018437704","0.4789749204166351","0.4459000031153361","0.5488666792710623","0.4659442226878883","0.45063332716623944","0.5488666792710623","0.4982933342456818","0.4951000014940898","0.5017999907334646"
"4","0.4516495466232297","0.450766662756602","0.4805666704972585","0.45113333066304523","0.45113333066304523","0.45113333066304523","0.516911671559016","0.4647999902566274","0.5488666792710623","0.46704166779915485","0.45070000489552814","0.5529000163078308","0.45116666413488876","0.44893333315849304","0.4548666675885518","0.4897803174124823","0.4362666706244151","0.5495666662851969","0.47453142849225854","0.4371333420276642","0.5488666792710623","0.4597570946311009","0.44253333409627277","0.5488666792710623","0.4982933342456818","0.4951000014940898","0.5017999907334646"
"5","0.4511292764732427","0.4497999946276347","0.45206665992736816","0.45113333066304523","0.45113333066304523","0.45113333066304523","0.5146183346708615","0.465533326069514","0.5488666792710623","0.4774833296736082","0.4510333438714345","0.5151666700839996","0.45116666413488876","0.44893333315849304","0.4548666675885518","0.4908292054183898","0.4478333393732707","0.5687666634718577","0.47599904745344135","0.442033330599467","0.5490000148614248","0.4577056089840315","0.44450000921885174","0.548966666062673","0.4982933342456818","0.4951000014940898","0.5017999907334646"
"6","0.45112972726692996","0.45100000500679016","0.45113333066304523","0.45113333066304523","0.45113333066304523","0.45113333066304523","0.48400666614373533","0.424233337243398","0.5034333268801371","0.4856866642832756","0.45110000173250836","0.5488666792710623","0.45116666413488876","0.44893333315849304","0.4548666675885518","0.4900206335007197","0.4453999996185303","0.5565333366394043","0.47574984043363544","0.4396333396434784","0.548799991607666","0.45621815009085687","0.4486666719118754","0.5487333436806997","0.4982933342456818","0.4951000014940898","0.5017999907334646"
"7","0.4511351326295919","0.45113333066304523","0.4512333373228709","0.45113333066304523","0.45113333066304523","0.45113333066304523","0.46573999871810284","0.4491333266099294","0.5034333268801371","0.47557333161433546","0.45113333066304523","0.5097333292166392","0.45116666413488876","0.44893333315849304","0.4548666675885518","0.4890511116338154","0.4470666746298472","0.5575666626294454","0.47547555433379296","0.44013333320617676","0.5484000047047933","0.4548438915325079","0.4509666661421458","0.548066665728887","0.4982933342456818","0.4951000014940898","0.5017999907334646"
"8","0.45113423144495135","0.45113333066304523","0.4511999885241191","0.45113333066304523","0.45113333066304523","0.45113333066304523","0.4609149977564811","0.4493333399295807","0.5029000043869019","0.4655549988150597","0.4508666694164276","0.5034333268801371","0.45116666413488876","0.44893333315849304","0.4548666675885518","0.4865844436108121","0.4469333291053772","0.5586666663487753","0.473642538558869","0.4472999970118205","0.5472333232561747","0.4537221098890401","0.44269999861717224","0.5451000134150187","0.4982933342456818","0.4951000014940898","0.5017999907334646"
"9","0.4511337810539981","0.45113333066304523","0.45116665959358215","0.45113333066304523","0.45113333066304523","0.45113333066304523","0.45785166571537655","0.4499666690826416","0.49656667311986286","0.46056833316882456","0.4507666726907094","0.5034333268801371","0.45116666413488876","0.44893333315849304","0.4548666675885518","0.4846082531270527","0.43860000371932983","0.5558666586875916","0.47161714340013144","0.44646666447321576","0.5430999994277954","0.45301319919403654","0.4446000059445699","0.5312000115712484","0.4982933342456818","0.4951000014940898","0.5017999907334646"
